"name_permission","readable_name"
"READ_APIKEY","Read ApiKey"
"WRITE_APIKEY","Write ApiKey"
"UPDATE_APIKEY","Update ApiKey"
"DELETE_APIKEY","Delete ApiKey"
"READ_COMPANY","Read Company"
"UPDATE_COMPANY","Update Company"
"WRITE_COMPANY","Write Company"
"DELETE_COMPANY","Delete Company"
"READ_PRODUCT","Read Product"
"UPDATE_PRODUCT","Update Product"
"WRITE_PRODUCT","Write Product"
"DELETE_PRODUCT","Delete Product"
"READ_CUSTOMER","Read Customer"
"UPDATE_CUSTOMER","Update Customer"
"WRITE_CUSTOMER","Write Customer"
"DELETE_CUSTOMER","Delete Customer"
"WRITE_FILE_SERVICE","Write File Service"
"UPDATE_FILE_SERVICE","Update File Service"
"READ_FILE_SERVICE","Read File Service"
"DELETE_FILE_SERVICE","Delete File Service"
